naam;diameter;omschrijving;toeslag;beschikbaar
Medium Cheesy Crust Pizza;25;Ambachtelijk uitgeslagen bodem van vers deeg (25 cm). De rand van deze pizza is gevuld met smakelijke gesmolten kaas met kruiden.;€2,00;Ja
Medium Pizza;25;Deze klassieke bodem van Domino’s worden ambachtelijk uitgeslagen van ons verse deeg. Met de hand gevormd tot een perfecte bodem.;€0,00;Ja
Large Pizza;35;Deze klassieke bodem van Domino’s worden ambachtelijk uitgeslagen van ons verse deeg. Met de hand gevormd tot een perfecte bodem.;€4,00;Ja
Family XXL Pizza;40;Deze klassieke bodem van Domino’s worden ambachtelijk uitgeslagen van ons verse deeg. Met de hand gevormd tot een perfecte bodem.;€5,00;Ja
Italian Pizza;30;Traditioneel dun uitgeslagen 30 centimeter bodem van vers Domino’s deeg. Lekker dun en krokant gebakken. Met oregano.;€1,00;Ja
Medium Fresh Pan Pizza;25;De panpizza van Domino’s is een dikke, luchtige bodem van 25 centimeter met een knapperig korstje van boter en kruiden. In een pannetje gebakken.;€1,00;Ja
